left,top,right,bottom,id
-180.0000000000000000,-16.0000000000000000,-179.0000000000000000,-17.0000000000000000,"42"
-180.0000000000000000,-17.0000000000000000,-179.0000000000000000,-18.0000000000000000,"43"
-180.0000000000000000,-18.0000000000000000,-179.0000000000000000,-19.0000000000000000,"44"
-180.0000000000000000,-19.0000000000000000,-179.0000000000000000,-20.0000000000000000,"45"
-179.0000000000000000,-14.0000000000000000,-178.0000000000000000,-15.0000000000000000,"90"
-179.0000000000000000,-17.0000000000000000,-178.0000000000000000,-18.0000000000000000,"93"
-179.0000000000000000,-18.0000000000000000,-178.0000000000000000,-19.0000000000000000,"94"
-179.0000000000000000,-19.0000000000000000,-178.0000000000000000,-20.0000000000000000,"95"
-179.0000000000000000,-20.0000000000000000,-178.0000000000000000,-21.0000000000000000,"96"
-177.0000000000000000,1.0000000000000000,-176.0000000000000000,0.0000000000000000,"175"
-177.0000000000000000,-13.0000000000000000,-176.0000000000000000,-14.0000000000000000,"189"
-176.0000000000000000,-15.0000000000000000,-175.0000000000000000,-16.0000000000000000,"241"
-176.0000000000000000,-19.0000000000000000,-175.0000000000000000,-20.0000000000000000,"245"
-176.0000000000000000,-21.0000000000000000,-175.0000000000000000,-22.0000000000000000,"247"
-175.0000000000000000,-18.0000000000000000,-174.0000000000000000,-19.0000000000000000,"294"
-175.0000000000000000,-19.0000000000000000,-174.0000000000000000,-20.0000000000000000,"295"
-175.0000000000000000,-20.0000000000000000,-174.0000000000000000,-21.0000000000000000,"296"
-175.0000000000000000,-21.0000000000000000,-174.0000000000000000,-22.0000000000000000,"297"
-174.0000000000000000,-18.0000000000000000,-173.0000000000000000,-19.0000000000000000,"344"
-173.0000000000000000,-4.0000000000000000,-172.0000000000000000,-5.0000000000000000,"380"
-173.0000000000000000,-8.0000000000000000,-172.0000000000000000,-9.0000000000000000,"384"
-173.0000000000000000,-13.0000000000000000,-172.0000000000000000,-14.0000000000000000,"389"
-172.0000000000000000,-2.0000000000000000,-171.0000000000000000,-3.0000000000000000,"428"
-172.0000000000000000,-3.0000000000000000,-171.0000000000000000,-4.0000000000000000,"429"
-172.0000000000000000,-4.0000000000000000,-171.0000000000000000,-5.0000000000000000,"430"
-172.0000000000000000,-9.0000000000000000,-171.0000000000000000,-10.0000000000000000,"435"
-172.0000000000000000,-13.0000000000000000,-171.0000000000000000,-14.0000000000000000,"439"
-172.0000000000000000,-14.0000000000000000,-171.0000000000000000,-15.0000000000000000,"440"
-171.0000000000000000,-14.0000000000000000,-170.0000000000000000,-15.0000000000000000,"490"
-170.0000000000000000,17.0000000000000000,-169.0000000000000000,16.0000000000000000,"509"
-170.0000000000000000,-14.0000000000000000,-169.0000000000000000,-15.0000000000000000,"540"
-170.0000000000000000,-18.0000000000000000,-169.0000000000000000,-19.0000000000000000,"544"
-170.0000000000000000,-19.0000000000000000,-169.0000000000000000,-20.0000000000000000,"545"
-166.0000000000000000,-10.0000000000000000,-165.0000000000000000,-11.0000000000000000,"736"
-166.0000000000000000,-11.0000000000000000,-165.0000000000000000,-12.0000000000000000,"737"
-165.0000000000000000,24.0000000000000000,-164.0000000000000000,23.0000000000000000,"752"
-164.0000000000000000,-18.0000000000000000,-163.0000000000000000,-19.0000000000000000,"844"
